RecordingTime_ms_,TimeOfDay_h_m_s_ms_,Trial,Stimulus,ExportStartTrialTime_ms_,ExportEndTrialTime_ms_,Participant,Color,RUNNUMBER,TrackingRatio___,CategoryGroup,CategoryRight,IndexRight,PupilDiameterRight_mm_,PointOfRegardRightX_px_,PointOfRegardRightY_px_,GazeVectorRightX,GazeVectorRightY,GazeVectorRightZ,EyePositionRightX_mm_,EyePositionRightY_mm_,EyePositionRightZ_mm_,PupilPositionRightX_px_,PupilPositionRightY_px_
134529.2,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.4,C003,LightSalmon,1,83.9,Information,Separator,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
134531.7,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.4,C003,LightSalmon,1,83.9,Eye,Fixation,1,3.8,945.5,533.2,0,0.2,-1,21.5,-3.1,604.8,553.7,520.4
134535.7,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.4,C003,LightSalmon,1,83.9,Eye,Fixation,1,3.7,946.7,536.3,0,0.2,-1,21.4,-3.1,603.4,553.6,520.4
134539.6,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.4,C003,LightSalmon,1,83.9,Eye,Fixation,1,3.7,945.2,541.5,0,0.2,-1,21.4,-3.1,602.5,553.6,520.5
134543.6,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.4,C003,LightSalmon,1,83.9,Eye,Fixation,1,3.7,945.5,543.8,0,0.2,-1,21.4,-3.1,601.5,553.6,520.5
134547.6,286:43:02,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.4,C003,LightSalmon,1,83.9,Eye,Fixation,1,3.7,945.1,544.9,0,0.2,-1,21.3,-3.1,600.8,553.6,520.5
134551.6,286:43:06,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.4,C003,LightSalmon,1,83.9,Eye,Fixation,1,3.7,945,546.5,0,0.2,-1,21.3,-3.1,600.5,553.7,520.5
134555.6,286:43:10,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.4,C003,LightSalmon,1,83.9,Eye,Fixation,1,3.7,945,549.6,0,0.2,-1,21.3,-3.1,600.4,553.7,520.6
134559.5,286:43:14,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.4,C003,LightSalmon,1,83.9,Eye,Fixation,1,3.7,944.6,552.3,0,0.2,-1,21.3,-3.1,600.5,553.7,520.6
134563.4,286:43:18,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.4,C003,LightSalmon,1,83.9,Eye,Fixation,1,3.7,943.2,553.3,0,0.2,-1,21.3,-3.1,600.8,553.8,520.6
