RecordingTime_ms_,TimeOfDay_h_m_s_ms_,Trial,Stimulus,ExportStartTrialTime_ms_,ExportEndTrialTime_ms_,Participant,Color,RUNNUMBER,TrackingRatio___,CategoryGroup,CategoryRight,IndexRight,PupilDiameterRight_mm_,PointOfRegardRightX_px_,PointOfRegardRightY_px_,GazeVectorRightX,GazeVectorRightY,GazeVectorRightZ,EyePositionRightX_mm_,EyePositionRightY_mm_,EyePositionRightZ_mm_,PupilPositionRightX_px_,PupilPositionRightY_px_
441105.6,351:54:40,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.3,Cpilot1,CornflowerBlue,NaN,85.3,Information,Separator,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
441106.6,351:54:41,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.3,Cpilot1,CornflowerBlue,NaN,85.3,Eye,Blink,1,0,0,0,0,0,0,0,0,0,0,0
441110.6,351:54:45,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.3,Cpilot1,CornflowerBlue,NaN,85.3,Eye,Blink,1,0,0,0,0,0,0,0,0,0,0,0
441114.6,351:54:49,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.3,Cpilot1,CornflowerBlue,NaN,85.3,Eye,Blink,1,0,0,0,0,0,0,0,0,0,0,0
441118.6,351:54:53,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.3,Cpilot1,CornflowerBlue,NaN,85.3,Eye,Blink,1,0,0,0,0,0,0,0,0,0,0,0
441122.6,351:54:57,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.3,Cpilot1,CornflowerBlue,NaN,85.3,Eye,Blink,1,0,0,0,0,0,0,0,0,0,0,0
441126.6,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.3,Cpilot1,CornflowerBlue,NaN,85.3,Eye,Blink,1,0,0,0,0,0,0,0,0,0,0,0
441130.6,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.3,Cpilot1,CornflowerBlue,NaN,85.3,Eye,Blink,1,0,0,0,0,0,0,0,0,0,0,0
441134.6,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.3,Cpilot1,CornflowerBlue,NaN,85.3,Eye,Blink,1,0,0,0,0,0,0,0,0,0,0,0
441138.6,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.3,Cpilot1,CornflowerBlue,NaN,85.3,Eye,Blink,1,0,0,0,0,0,0,0,0,0,0,0
441142.6,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.3,Cpilot1,CornflowerBlue,NaN,85.3,Eye,Blink,1,0,0,0,0,0,0,0,0,0,0,0
441146.6,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.3,Cpilot1,CornflowerBlue,NaN,85.3,Eye,Blink,1,0,0,0,0,0,0,0,0,0,0,0
441150.6,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.3,Cpilot1,CornflowerBlue,NaN,85.3,Eye,Blink,1,0,0,0,0,0,0,0,0,0,0,0
441154.6,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.3,Cpilot1,CornflowerBlue,NaN,85.3,Eye,Blink,1,0,0,0,0,0,0,0,0,0,0,0
441158.6,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.3,Cpilot1,CornflowerBlue,NaN,85.3,Eye,Blink,1,0,0,0,0,0,0,0,0,0,0,0
441162.6,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.3,Cpilot1,CornflowerBlue,NaN,85.3,Eye,Blink,1,0,0,0,0,0,0,0,0,0,0,0
441166.6,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.3,Cpilot1,CornflowerBlue,NaN,85.3,Eye,Blink,1,0,0,0,0,0,0,0,0,0,0,0
441170.6,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.3,Cpilot1,CornflowerBlue,NaN,85.3,Eye,Blink,1,4.5,963.4,848.8,0.1,0.1,-1,17.4,-29.6,592.6,567.1,628.5
441174.6,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.3,Cpilot1,CornflowerBlue,NaN,85.3,Eye,Blink,1,0,0,0,0,0,0,0,0,0,0,0
441178.6,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.3,Cpilot1,CornflowerBlue,NaN,85.3,Eye,Blink,1,0,0,0,0,0,0,0,0,0,0,0
441182.6,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.3,Cpilot1,CornflowerBlue,NaN,85.3,Eye,Blink,1,0,0,0,0,0,0,0,0,0,0,0
441186.6,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.3,Cpilot1,CornflowerBlue,NaN,85.3,Eye,Blink,1,4.5,960.2,749.4,0.1,0.2,-1,17.4,-29.6,591.9,567.1,628.1
441190.6,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.3,Cpilot1,CornflowerBlue,NaN,85.3,Eye,Blink,1,4.5,971.9,747.5,0.1,0.2,-1,17.4,-29.6,591.2,567.1,628.1
