RecordingTime_ms_,TimeOfDay_h_m_s_ms_,Trial,Stimulus,ExportStartTrialTime_ms_,ExportEndTrialTime_ms_,Participant,Color,RUNNUMBER,TrackingRatio___,CategoryGroup,CategoryRight,IndexRight,PupilDiameterRight_mm_,PointOfRegardRightX_px_,PointOfRegardRightY_px_,GazeVectorRightX,GazeVectorRightY,GazeVectorRightZ,EyePositionRightX_mm_,EyePositionRightY_mm_,EyePositionRightZ_mm_,PupilPositionRightX_px_,PupilPositionRightY_px_
104995.3,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5026.8,NMQ_3,DarkCyan,NaN,86.3,Information,Separator,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104997.3,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5026.8,NMQ_3,DarkCyan,NaN,86.3,Eye,Fixation,1,4.3,1012.2,554.5,0,0.2,-1,10.1,3.2,628.3,601.6,495.8
105001.3,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5026.8,NMQ_3,DarkCyan,NaN,86.3,Eye,Fixation,1,4.4,1017.3,556.1,0,0.2,-1,10.1,3.2,627.8,601.6,495.7
105005.3,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5026.8,NMQ_3,DarkCyan,NaN,86.3,Eye,Fixation,1,4.3,1019.9,562.3,0,0.2,-1,10.1,3.2,627.5,601.7,495.8
105009.3,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5026.8,NMQ_3,DarkCyan,NaN,86.3,Eye,Fixation,1,4.3,1022.2,562,0,0.2,-1,10.1,3.2,627.5,601.8,495.7
105013.3,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5026.8,NMQ_3,DarkCyan,NaN,86.3,Eye,Fixation,1,4.4,1026,563,0,0.2,-1,10.1,3.2,627.7,601.7,495.5
105017.3,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5026.8,NMQ_3,DarkCyan,NaN,86.3,Eye,Fixation,1,4.3,1028.8,566.6,0,0.2,-1,10.1,3.2,628,601.8,495.6
105021.3,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5026.8,NMQ_3,DarkCyan,NaN,86.3,Eye,Fixation,1,4.4,1031.5,568.5,0,0.2,-1,10.1,3.3,628.8,601.8,495.5
105025.3,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5026.8,NMQ_3,DarkCyan,NaN,86.3,Eye,Fixation,1,0,0,0,0,0,0,0,0,0,0,0
105029.3,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5026.8,NMQ_3,DarkCyan,NaN,86.3,Eye,Fixation,1,4.3,1034.5,570.4,0,0.2,-1,10.1,3.3,629.4,601.8,495.5
105033.3,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5026.8,NMQ_3,DarkCyan,NaN,86.3,Eye,Fixation,1,4.4,1036.5,569.6,0,0.2,-1,10.1,3.3,630.1,601.8,495.3
105037.3,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5026.8,NMQ_3,DarkCyan,NaN,86.3,Eye,Fixation,1,4.4,1037.7,570.2,0,0.2,-1,10.1,3.3,630.6,601.9,495.3
105041.3,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5026.8,NMQ_3,DarkCyan,NaN,86.3,Eye,Fixation,1,0,0,0,0,0,0,0,0,0,0,0
105045.3,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5026.8,NMQ_3,DarkCyan,NaN,86.3,Eye,Fixation,1,4.4,1039,569.6,0,0.2,-1,10.1,3.3,631.2,601.9,495.2
105049.3,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5026.8,NMQ_3,DarkCyan,NaN,86.3,Eye,Fixation,1,4.4,1039.2,567.4,0,0.2,-1,10.1,3.3,631.8,601.9,495.2
105053.3,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5026.8,NMQ_3,DarkCyan,NaN,86.3,Eye,Fixation,1,4.4,1036.7,562.5,0,0.2,-1,10.1,3.3,632.3,602,495.1
105057.3,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5026.8,NMQ_3,DarkCyan,NaN,86.3,Eye,Fixation,1,0,0,0,0,0,0,0,0,0,0,0
105061.3,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5026.8,NMQ_3,DarkCyan,NaN,86.3,Eye,Fixation,1,4.4,1032.5,557.9,0,0.2,-1,10.1,3.4,632.5,602.1,495.1
105065.3,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5026.8,NMQ_3,DarkCyan,NaN,86.3,Eye,Fixation,1,4.4,1027.3,555.7,0,0.2,-1,10.1,3.4,632.5,602.2,495.1
105069.3,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5026.8,NMQ_3,DarkCyan,NaN,86.3,Eye,Fixation,1,4.4,1026.3,554,0,0.2,-1,10.1,3.4,632.4,602.1,495.1
105073.3,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5026.8,NMQ_3,DarkCyan,NaN,86.3,Eye,Fixation,1,0,0,0,0,0,0,0,0,0,0,0
105077.3,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5026.8,NMQ_3,DarkCyan,NaN,86.3,Eye,Fixation,1,4.4,1023.8,551.7,0,0.2,-1,10.1,3.4,632.4,602.2,495
