RecordingTime_ms_,TimeOfDay_h_m_s_ms_,Trial,Stimulus,ExportStartTrialTime_ms_,ExportEndTrialTime_ms_,Participant,Color,RUNNUMBER,TrackingRatio___,CategoryGroup,CategoryRight,IndexRight,PupilDiameterRight_mm_,PointOfRegardRightX_px_,PointOfRegardRightY_px_,GazeVectorRightX,GazeVectorRightY,GazeVectorRightZ,EyePositionRightX_mm_,EyePositionRightY_mm_,EyePositionRightZ_mm_,PupilPositionRightX_px_,PupilPositionRightY_px_
12006298.2,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.6,R12,DeepSkyBlue,NaN,77.4,Information,Separator,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12006301,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.6,R12,DeepSkyBlue,NaN,77.4,Eye,Fixation,1,4.1,848.8,554.4,0,0.2,-1,42.4,17.2,592.9,469,438.3
12006307,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.6,R12,DeepSkyBlue,NaN,77.4,Eye,Fixation,1,4.1,854.5,556.4,0,0.2,-1,42.4,17.2,592.9,468.9,438.2
12006313,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.6,R12,DeepSkyBlue,NaN,77.4,Eye,Fixation,1,4.1,852.4,559.5,0,0.2,-1,42.4,17.3,593,468.9,438.2
12006318.9,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.6,R12,DeepSkyBlue,NaN,77.4,Eye,Fixation,1,4.1,855.8,563.9,0,0.2,-1,42.4,17.3,593.1,468.8,438.2
12006324.9,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.6,R12,DeepSkyBlue,NaN,77.4,Eye,Fixation,1,0,0,0,0,0,0,0,0,0,0,0
12006330.9,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.6,R12,DeepSkyBlue,NaN,77.4,Eye,Fixation,1,4.1,852.2,563.9,0,0.2,-1,42.4,17.3,593.3,468.8,438.1
12006336.9,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.6,R12,DeepSkyBlue,NaN,77.4,Eye,Fixation,1,4.1,852.5,562.8,0,0.2,-1,42.4,17.3,593.4,468.8,437.9
12006342.9,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.6,R12,DeepSkyBlue,NaN,77.4,Eye,Fixation,1,4.1,850.1,565.1,0,0.2,-1,42.4,17.3,593.3,468.9,438
12006348.9,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.6,R12,DeepSkyBlue,NaN,77.4,Eye,Fixation,1,0,0,0,0,0,0,0,0,0,0,0
12006354.9,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.6,R12,DeepSkyBlue,NaN,77.4,Eye,Fixation,1,4.1,848.1,565.2,0,0.2,-1,42.4,17.3,593.3,468.9,437.8
12006360.9,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.6,R12,DeepSkyBlue,NaN,77.4,Eye,Fixation,1,4,846.7,564.2,0,0.2,-1,42.4,17.3,593.2,468.9,437.7
12006366.9,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.6,R12,DeepSkyBlue,NaN,77.4,Eye,Fixation,1,4,845.4,564.4,0,0.2,-1,42.4,17.4,593,468.9,437.7
12006372.9,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.6,R12,DeepSkyBlue,NaN,77.4,Eye,Fixation,1,0,0,0,0,0,0,0,0,0,0,0
12006378.9,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.6,R12,DeepSkyBlue,NaN,77.4,Eye,Fixation,1,4,845.8,565.9,0,0.2,-1,42.4,17.4,592.6,468.9,437.6
12006384.9,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.6,R12,DeepSkyBlue,NaN,77.4,Eye,Fixation,1,4,847.7,568.6,0,0.2,-1,42.3,17.4,592.2,468.8,437.6
12006390.8,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.6,R12,DeepSkyBlue,NaN,77.4,Eye,Fixation,1,4,846.1,570.7,0,0.2,-1,42.3,17.4,592,468.9,437.6
12006396.8,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.6,R12,DeepSkyBlue,NaN,77.4,Eye,Fixation,1,0,0,0,0,0,0,0,0,0,0,0
12006402.8,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.6,R12,DeepSkyBlue,NaN,77.4,Eye,Fixation,1,4,846.3,574.6,0,0.2,-1,42.3,17.4,591.8,468.9,437.6
12006408.8,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.6,R12,DeepSkyBlue,NaN,77.4,Eye,Fixation,1,4,844.5,574.6,0,0.2,-1,42.3,17.4,591.5,468.9,437.5
12006414.8,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.6,R12,DeepSkyBlue,NaN,77.4,Eye,Fixation,1,4,844.4,578.7,0,0.2,-1,42.3,17.4,591.3,468.9,437.5
12006420.8,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.6,R12,DeepSkyBlue,NaN,77.4,Eye,Fixation,1,0,0,0,0,0,0,0,0,0,0,0
12006426.8,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.6,R12,DeepSkyBlue,NaN,77.4,Eye,Fixation,1,4,843.2,581.8,0,0.2,-1,42.3,17.4,591.2,468.9,437.6
12006432.8,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.6,R12,DeepSkyBlue,NaN,77.4,Eye,Fixation,1,3.9,842,583.5,0,0.2,-1,42.3,17.4,591,469,437.6
12006438.8,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.6,R12,DeepSkyBlue,NaN,77.4,Eye,Fixation,1,3.9,844.3,585.4,0,0.2,-1,42.2,17.3,590.9,468.8,437.6
12006444.8,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.6,R12,DeepSkyBlue,NaN,77.4,Eye,Fixation,1,0,0,0,0,0,0,0,0,0,0,0
12006450.8,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.6,R12,DeepSkyBlue,NaN,77.4,Eye,Fixation,1,3.9,844.3,588.6,0,0.2,-1,42.2,17.3,590.6,468.9,437.8
12006456.8,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.6,R12,DeepSkyBlue,NaN,77.4,Eye,Fixation,1,3.9,844.2,590.6,0,0.2,-1,42.2,17.3,590.4,468.9,437.8
12006462.8,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.6,R12,DeepSkyBlue,NaN,77.4,Eye,Fixation,1,3.9,844.2,591.6,0,0.2,-1,42.2,17.3,590.3,468.9,437.9
12006468.8,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.6,R12,DeepSkyBlue,NaN,77.4,Eye,Fixation,1,0,0,0,0,0,0,0,0,0,0,0
12006474.8,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.6,R12,DeepSkyBlue,NaN,77.4,Eye,Fixation,1,3.9,842.7,592.1,0,0.2,-1,42.2,17.2,590.1,468.8,438
12006480.7,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.6,R12,DeepSkyBlue,NaN,77.4,Eye,Fixation,1,3.9,841.3,594.8,0,0.2,-1,42.2,17.2,589.8,468.9,438.1
12006486.7,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.6,R12,DeepSkyBlue,NaN,77.4,Eye,Fixation,1,3.9,839.3,594.3,0,0.2,-1,42.2,17.2,589.8,468.9,438
